deposit_name,country,state,deposit_type,age_Ma,host_formation,metamorphic_grade,mineral,latitude,longitude,coord_confidence,host_class,supergene,MnO(%),Fe2O3 t,SiO2 (%),Al2O3 (%),P2O5,Ba,Co,Ni,V,As,tonnage_total_metal,plate_id,age_round,paleo_lat,paleo_lon,abspaleolat
Abbotabad,Pakistan,Hazara,sediment-hosted,517.0,Hazira,,bixbyite,34.15,73.2,region,sediment-hosted,False,27.41399424339834,24.662000404405315,5.410537716469153,13.96923497917182,4.255768192559665,5474.687346712521,391.4282431066054,287.2812129469568,602.3835453144825,,0.13,501,517,-35.58929290718289,99.43024106745962,35.58929290718289
Adilabad,India,Andhra Pradesh,sediment-hosted,770.0,Penganga,,rhodochrosite,19.7,79.4,auto(PP1802/seed),sediment-hosted,False,29.843253275109166,1.36,17.066666666666666,0.5333333333333333,0.01,269.03333333333336,8.0,20.0,30.333333333333332,,0.3,501,770,48.427284912600726,23.348568112221635,48.427284912600726
Akkermanov,Russia,Orenburg,sediment-hosted,328.0,,none,rhodochrosite,51.2,57.6,region,sediment-hosted,False,15.8,2.13,14.4,0.88,0.22,,,,,,0.1379999999999999,302,328,24.717548847375898,40.206730585314176,24.717548847375898
Ananai,Japan,Shikoku,volcanic-hosted,265.0,,,caryoplite,33.6,133.6,region,volcanic-hosted,False,36.26470588235293,7.789411764705882,39.917647058823526,3.605882352941176,0.5876470588235293,5141.176470588235,58.01176470588237,140.7058823529412,80.1705882352941,,0.06,631,265,28.481449916450874,147.13873315198632,28.481449916450874
Bald Knob,USA,NC,volcanic-hosted,750.0,Ashe,amphibolite,rhodochrosite,36.4,-81.4,lit,volcanic-hosted,False,23.36,3.608000000000001,12.232,5.242,0.01,38.0,295.6,54.6,128.4,4.368,0.1291538461538461,101,750,-23.624230862065478,104.69206441196414,23.624230862065478
Binkiliç,Turkey,,sediment-hosted,28.0,,none,cryptomelane,41.3,28.2,region,sediment-hosted,True,47.63331846685072,3.3105380095375945,11.779893221242624,4.215614195293915,0.6381971714695934,5202.371543489191,78.1,228.19230769230768,50.29230769230769,,0.362037037037037,338,28,36.257659395782994,25.687551709597532,36.257659395782994
Blue Jay,USA,CA,volcanic-hosted,158.0,Franciscan,none,amorphous oxides + braunite,37.5,-122.3,region,volcanic-hosted,False,54.96,2.0988,23.198,1.0,0.1039999999999999,,,,,,0.0015847191666666,0,158,,,
"Bolske (Bolshoi, Bolshe, Bol'she)-Tokmak",Russia,,sediment-hosted,28.0,,,,47.25,35.7,lit,sediment-hosted,False,30.72,1.8733,18.7,,0.2045454545454545,,10.0,64.0,,,107.01,302,28,42.818724855434354,31.650841585693193,42.818724855434354
Buckeye-Ladd-Thomas,USA,CA,volcanic-hosted,145.0,Franciscan,blueschist,"braunite, rhodochrosite",37.4,-122.2,region,volcanic-hosted,False,42.76333333333333,1.5933333333333335,33.25333333333333,2.0933333333333333,0.11,1340.3333333333333,29.933333333333337,301.1666666666667,217.9333333333333,53.23333333333333,0.021252,0,145,,,
Çayirh,Turkey,,volcanic-hosted,85.0,,,,40.0,33.0,country,volcanic-hosted,False,28.4064,1.859,,,,1000.0,70.0,200.0,,,0.11,521,85,32.00509041085189,39.87440807363984,32.00509041085189
